"","calc_reef_year","calc_reef_year.1"
"0",0,0
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",329.925392532343,329.925392532343
"55",325.368035484622,325.368035484622
"56",320.405189828827,320.405189828827
"57",315.042681044581,315.042681044581
"58",309.295300829504,309.295300829504
"59",303.187401750498,303.187401750498
"60",296.753273675352,296.753273675352
"61",290.037423705029,290.037423705029
"62",283.095022104831,283.095022104831
"63",0,275.993027032962
"64",0,268.81306443064
"65",0,261.658842462918
"66",0,254.678797158863
"67",0,248.197632245925
"68",0,242.304384507558
"69",0,236.732741947063
"70",0,231.38849612034
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",0,0
