"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91"
"342",480.25849297424,474.667780928063,468.954005911323,463.119522031617,457.166687389538,451.09786866518,444.91544533629,438.621813573656,432.219389855839,425.710614342401,419.097954042221,412.383905811365,405.570999213279,398.661799272642,391.658909153312,384.564972790051,377.382677503518,370.114756628012,362.763992181941,355.333217611766,347.825320641445,340.243246261057,332.589999890461,324.868650756567,317.082335526094,309.23426223976,301.327714598598,293.366056658915,285.35273799918,277.291299430252,269.185379329959,261.038720694435,252.855179012151,244.638731082712,236.39348492174,228.123690916232,219.833754422543,211.528250032635,203.211937774941,194.889781565775,186.566970288133,178.248941949811,169.941411466166,161.650402729632,153.382285775421,145.143820040223,136.942204951175,128.785139394085,120.680892018422,112.638384878365,104.667293637182,96.778168554869,88.9825818542923,81.2933090015422,73.7245542300079,66.292234753604,59.01434433949,51.9114266137544,45.0072041394463,38.3294356686104,31.911120583785,25.7922570912602,20.0225379979852,14.6657633398619,9.80775401792596,5.5726326694075,2.16520731733538,0.0708689284645122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"343",480.056374026609,474.445596793167,468.711979759693,462.85788864142,456.885692773673,450.797769748052,444.596509676173,438.284319127066,431.863624780847,425.336876838227,418.706552222879,411.975157611508,405.145232324722,398.219351110425,391.200126850412,384.090213220246,376.892307332128,369.609152390599,362.243540391316,354.798314893972,347.276373901709,339.680672881022,332.014227958381,324.280119332524,316.48149494473,308.621574453461,300.703653564621,292.731108774511,284.707402589441,276.636089294198,268.520821351241,260.365356524077,252.173565831965,243.949442459427,235.697111763584,227.420842545707,219.125059781518,210.814359038818,202.493522852248,194.167539375455,185.841623692729,177.521242248583,169.212140948712,160.920377604645,152.652359544467,144.414887402962,136.215206349802,128.061066332678,119.960793329732,111.923374159852,103.958558145056,96.0769799370589,88.2903092326109,80.6114350982512,73.054695504234,65.6361669179796,58.3740352513921,51.2890795291292,44.405315960786,37.7508776626886,31.3592542399754,25.271107933239,19.5370716879552,14.222359372048,9.41511241667659,5.24383058570712,1.92406011962822,0.00882463391046526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344",479.873297396146,474.244034191061,468.492136150731,462.619979720508,456.629944619499,450.524418522916,444.305801368162,437.97650933126,431.538978516686,424.995668400568,418.349065064679,411.601684256389,404.756074308024,397.814818947657,390.780540032317,383.655900233953,376.443605708191,369.146408775959,361.767110648518,354.308564227267,346.77367701094,339.165414144524,331.486801646453,323.740929853382,315.930957125253,308.060113857468,300.131706851905,292.149124104408,284.115840073326,276.035421502026,267.911533878067,259.747948623467,251.548551124304,243.317349724495,235.058485828301,226.776245279849,218.475071216429,210.159578626844,201.83457088792,193.505058603415,185.17628113235,176.853731271308,168.543183651734,160.250727534121,151.982804833558,143.746254405509,135.548363870494,127.39693058076,119.300333757928,111.267620396592,103.308608291097,95.4340105845866,87.6555876871012,79.986334458341,72.4407135111163,65.034949870539,57.7874088776681,50.7190896538252,43.8542833838577,37.2214744009617,30.8546133077439,24.7949887051902,19.0941239943883,13.8185799600965,9.05872828116292,4.94733907861677,1.7107818094726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345",479.709577983575,474.063411290835,468.294796276121,462.40611922492,456.399769377662,450.278143654589,444.043651000845,437.698716398851,431.245784591421,424.687323555998,418.025827767741,411.263821286992,404.403860704851,397.448537979175,390.400483192266,383.262367260849,376.036904628628,368.726855971754,361.335030948009,353.864291021329,346.317552394549,338.697789085007,331.008036179846,323.25139331066,315.43102839056,307.55018166086,299.612170099587,291.620392249934,283.578333533819,275.489572124124,267.357785459074,259.186757494059,250.980386800209,242.74269563575,234.47784013617,226.1901217932,217.884000421441,209.564108846421,201.235269590208,192.902513882547,184.571103389069,176.246555126801,167.934670135016,159.641566592201,151.373718224849,143.137999051339,134.941735758225,126.792769336366,118.699528038135,110.671114293911,102.717409003864,94.8491976853954,87.0783244372485,79.417881779845,71.8824474683011,64.4883838748788,57.2542223896814,50.2011660525974,43.353761167865,36.7408184876466,30.3967180006426,24.3633333809084,18.6930229947193,13.453617523832,8.73760897745344,4.68188622385617,1.52360052480219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346",479.565503514501,473.904018822818,468.120253646291,462.216603209007,456.195465399594,450.059245534847,443.81036074038,437.451243995754,430.984347887943,424.412148113844,417.737146769877,410.961875464516,404.088898287754,397.120814670053,390.060262162336,382.909919167828,375.672507656275,368.350795891135,360.947601200745,353.465792825337,345.908294873055,338.278089419843,330.578219790338,322.811794059711,314.981988819861,307.092053257531,299.145313596958,291.145177965622,283.095141748816,274.99879350717,266.859821541331,258.682021199866,250.469303040689,242.225701973129,233.95538752801,225.662675427316,217.352040654181,209.02813225926,200.695790182394,192.360064420927,184.026236940401,175.69984680302,167.386719088402,159.092998305498,150.825187151731,142.590191675843,134.395374158864,126.248615363081,118.158388239899,110.133845774627,102.184926438426,94.3224818027699,86.558432383077,78.9059599227843,71.3797474372333,63.9962829500723,56.7742498922828,49.7350382135351,42.9034283543124,36.308531109848,29.9851219487097,23.9756148290615,18.3331419057108,13.1267166967929,8.45082165903621,4.44626525022274,1.36078939617553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347",479.441334164549,473.76611971141,467.968773731063,462.051699474078,456.017302594373,449.867995947751,443.606204004556,437.234366924309,430.754944336484,424.170418868459,417.483299458996,410.696124493323,403.811464794082,396.83192650095,389.760153870679,382.598832028609,375.35068970238,368.018501968652,360.605093044036,353.113339152357,345.546171501584,337.906579405558,330.197613587903,322.422389708323,314.584092154988,306.685978150927,298.731382227375,290.723721123085,282.666499175782,274.563314280447,266.417864499243,258.233955419911,250.015508373759,241.766569641397,233.491320794771,225.1940903485,216.879366922969,208.551814157292,200.216287653586,191.877854286955,183.54181428071,175.213726526876,166.899437732366,158.605116097052,150.337290389144,142.102895486332,133.909325712672,125.76449764138,117.676924481418,109.655804762069,101.711128835083,93.8538078180175,86.0958311417388,78.450461051814,70.9324755869269,63.5584762745744,56.3472839923067,49.3204578133551,42.5029902726631,35.9242643444577,29.6194148951019,23.631348034664,18.0139030493779,12.8371794240741,8.19750025894688,4.23934513572777,1.22068350917938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",479.337302218048,473.649948740766,467.840593632467,461.911647248491,455.865522116285,449.704637764893,443.431425166002,437.048330834723,430.557820634588,423.962383328062,417.264533911176,410.4668167686,403.571808683638,396.582121736154,389.500406120385,382.32935291388,375.07169682848,367.730218974333,360.30774966835,352.807171319379,345.231421423673,337.583495705964,329.866451443755,322.083411015282,314.23756571511,306.332179885564,298.370595417278,290.356236678251,282.292615937972,274.183339361834,266.032113661159,257.842753496351,249.619189745031,241.365478764218,233.085812796173,224.784531692167,216.466136158167,208.135302762367,199.796900988256,191.456012670346,183.117954215436,174.788302093649,166.472922184808,158.178003692954,149.91009850274,141.676167056855,133.483632098304,125.340441965875,117.255145584722,109.236981898662,101.295987307831,93.4431257965392,85.690448000513,78.0512876875711,70.5405073578627,63.1748094806422,55.9731372467375,48.9572003500257,42.1521803992044,35.5877033020572,29.2992252112636,23.3300931187263,17.7347815972303,12.5843698291516,7.97685229510621,4.0600813467932,1.101699525318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349",479.253611760655,473.5557122537,467.735921790018,461.796656899453,455.740336083318,449.569384670805,443.286239284713,436.893351964971,430.393193994686,423.788259470268,417.081068654457,410.274171148769,403.370148920043,396.371619214283,389.281237389908,382.101699701837,374.835746067474,367.486162845751,360.0557856608,352.547502302701,344.964255739049,337.309047272833,329.584939884439,321.795061798435,313.94261031933,306.03085598476,298.063147089685,290.042914641272,281.973677811438,273.859049962646,265.702745332806,257.508586477322,249.280512580828,241.02258876846,232.739016567181,224.434145692557,216.112487366278,207.77872940597,199.437753372923,191.094654117252,182.75476212628,174.423669164034,166.107257791947,157.8117354893,149.543674254424,141.310056775142,133.118330524394,124.976471485241,116.89305966826,108.877369196206,100.939476558302,93.0903917725299,85.3422187808821,77.7083536606947,70.2037325191273,62.8451458313195,55.6516434812155,48.6450666315904,41.8507620555574,35.2985680908537,29.0242222086888,23.0714581264821,17.495309050637,12.3677187848844,7.78816537893569,3.90752651524181,1.00235799358168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350",479.19043840625,473.483587884106,467.654937718762,461.706909676808,455.641927326844,449.462420918698,443.170831870074,436.769616909327,430.261251919363,423.648235524369,416.933092458422,410.118376752654,403.206674775817,396.200608161598,389.102836654958,381.916060909023,374.643025263787,367.286520537878,359.849386865111,352.334516608426,344.744857385079,337.08341523876,329.353257996582,321.557518851811,313.699400216693,305.78217789407,297.809205621592,289.783920048488,281.709846212165,273.590603590598,265.42991281676,257.231603153633,248.999620842883,240.738038457719,232.451065411248,224.143059796638,215.818541765529,207.482208687595,199.138952378525,190.79387873796,182.452330205682,174.119911527006,165.802519421354,157.506376877398,149.238072961972,141.004609239193,132.813454166009,124.672607181906,116.590674673684,108.576960614325,100.641575511232,92.79556844793,85.0510886087707,77.4215849629511,69.9220561124214,62.569367272594,55.3826589701933,48.3838841107795,41.5985299340753,35.0566155845863,28.7941182263262,22.8551015556005,17.2950764158367,12.1867281232369,7.63081331060897,3.78084080777029,0.921308108933669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351",479.147929058439,473.433724323204,467.597791780337,461.642557489024,455.570449172669,449.383901116745,443.085358672529,436.677282415628,430.162152004435,423.542469780449,416.820764149599,409.999592781438,403.081545661155,396.069248027906,388.965363231819,381.772595541374,374.493692932471,367.131449890592,359.688710257879,352.168370157837,344.573381031654,336.906752821944,329.171557341983,321.370931871448,313.5080830232,305.586290929942,297.608913804783,289.579392935888,281.501258182734,273.378134050217,265.213746427222,257.011930088552,248.776637073801,240.511946074189,232.222072979354,223.911382761146,215.584402901815,207.245838610576,198.900590117195,190.553772385775,182.21073765908,173.877101326866,165.558771715371,157.261984525313,148.993342810687,140.75986360128,132.569032543576,124.428868288831,116.347998823934,108.335752563852,100.402267867933,92.5586258016699,84.8170125864928,77.1909204904128,69.6953992771428,62.3473753539986,55.1660634707977,48.1735080558573,41.3953114383757,34.8616409795138,28.6086704740615,22.6807345973915,17.1337370338456,12.0409744194672,7.50426164138787,3.67930170963114,0.857354278480562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
