"","calc_reef_year","calc_reef_year.1","calc_reef_year.2","calc_reef_year.3","calc_reef_year.4"
"0",364.918496301654,357.492637238983,331.945080163963,297.74919332943,234.670736253576
"1",364.919447910117,357.506798505482,331.957369345701,297.746587174391,234.64529889165
"2",364.919672421851,357.500614655846,331.924297481998,297.687188488409,234.563380573903
"3",364.919167649047,357.474003628813,331.845749211473,297.570926709806,234.42500302
"4",364.917918393953,357.426768313927,331.721496840605,297.397663723894,234.230171534491
"5",364.915896021226,357.358595349411,331.551200607058,297.167194811224,233.978875910175
"6",364.913057716091,357.269053236476,331.334408920719,296.87924975785,233.671091410052
"7",364.909345407924,357.15758977471,331.070558602445,296.533494138271,233.30677983144
"8",364.904684330034,357.023528823868,330.758975144693,296.129530782761,232.885890655414
"9",364.898981176792,356.866066398751,330.398873022356,295.666901441791,232.408362284322
"10",364.892121808658,356.684266106117,329.989356086494,295.145088661146,231.874123369731
"11",364.883968443709,356.477053935866,329.529418078065,294.563517882154,231.283094232783
"12",364.874356260868,356.243212423284,329.017943303307,293.921559782118,230.635188378563
"13",364.863089324612,355.981374205166,328.453707517001,293.218532870602,229.930314105727
"14",364.849935723445,355.690015000387,327.835379064516,292.453706357552,229.168376212285
"15",364.834621794211,355.367446055197,327.161520338127,291.626303309478,228.349277798096
"16",364.816825281236,355.011806105494,326.430589607643,290.735504109818,227.472922164355
"17",364.796167252727,354.62105292284,325.640943289771,289.780450239405,226.539214810002
"18",364.772202566538,354.192954528314,324.790838724713,288.760248392385,225.548065524798
"19",364.744408642815,353.725080178789,323.878437532273,287.673974942159,224.49939057856
"20",364.712172261848,353.214791254038,322.901809622901,286.52068077085,223.393115005893
"21",364.674774061343,352.659232200606,321.858937941704,285.299396474385,222.229174985676
"22",364.631370358122,352.055321719649,320.747724025102,284.009137953643,221.007520314556
"23",364.580971865062,351.399744421098,319.565994450513,282.648912400125,219.728116973773
"24",364.522418815218,350.688943205533,318.311508258903,281.21772468237,218.390949788886
"25",364.454351942517,349.919112677704,316.981965428072,279.714584136866,216.996025182328
"26",364.375178703779,349.086193941402,315.575016470982,278.138511764465,215.543374019273
"27",364.283034062721,348.18587117349,314.088273228058,276.488547830535,214.033054548075
"28",364.175735097168,347.213570424363,312.51932091507,274.763759864118,212.465155437581
