"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",-0.780011317812016
"15",-0.890294469262045
"16",-0.990960097483194
"17",-1.07166971195229
"18",-1.13066183857912
"19",-1.07794357460065
"20",-0.94500087524127
"21",-0.694760237402086
"22",-0.441728244267083
"23",-0.180516391632552
"24",0.0733651424331839
"25",0.338598984939954
"26",0.76561572294499
"27",1.21399121247796
"28",1.62448211662001
"29",2.02350010083776
"30",2.4253554177536
"31",2.83661512398609
"32",3.26326234301667
"33",3.70788335721434
"34",4.16988833470201
"35",4.60452620323316
"36",5.06113381977422
"37",5.55925983137044
"38",6.11467382767407
"39",6.71107780145697
"40",7.36853351025973
"41",8.08803715981027
"42",8.83687686024954
"43",9.65990000347863
"44",10.523192368407
"45",11.4356568270023
"46",12.3981912270575
"47",13.3780738157796
"48",14.3774925721085
"49",15.3795613894918
"50",16.3410190995794
"51",17.246280400468
"52",18.1056363953033
"53",18.9125777083554
"54",19.6393007324129
"55",20.3319197515478
"56",20.9464480140296
"57",21.5197625429095
"58",22.0679208636611
"59",22.5795573597518
"60",23.051149365371
"61",23.4538304131679
"62",23.8446094903177
"63",24.2270339934142
"64",24.5587394239178
"65",24.832761962405
"66",25.0679995791379
"67",25.3496375062288
"68",25.610795230073
"69",25.8447824252957
"70",26.1079461380106
"71",26.3764787696201
"72",26.631693390394
"73",26.8473453774566
"74",27.0480104119441
"75",27.2610947119446
"76",27.4762637463707
"77",27.6638048098824
"78",27.8280161591246
"79",27.9757587681745
"80",28.0870697217734
"81",28.1817291476995
"82",28.2456832459455
"83",28.3436791903442
"84",28.4303772538754
"85",28.4392428309053
"86",28.399554229802
"87",28.3158653786181
"88",28.2102125472415
"89",28.1241958891971
"90",28.0970022303621
"91",28.1171861669518
"92",28.1820852491622
"93",28.2939774649585
"94",28.4115208485765
"95",28.5270121132442
"96",28.5594732512803
"97",28.5358328475942
"98",28.4764918534877
"99",28.3869383555537
"100",28.2664088947829
"101",28.24450497455
"102",28.2193880545128
"103",28.1896196410263
"104",28.1470134710492
"105",28.0994848152161
"106",28.043499572451
"107",27.965435497632
"108",27.884331368437
"109",27.7454291800538
"110",27.6274764987515
"111",27.5371628926957
"112",27.3551436963422
"113",27.176666285672
"114",27.0271864470156
"115",26.9222280876309
"116",26.8166987622277
"117",26.6691566988656
"118",26.4891403060473
"119",26.3151540648983
"120",26.0464815651929
"121",25.7018580538278
"122",25.4234803899375
"123",25.2159466649122
"124",24.9743807508168
"125",24.7015727596039
"126",24.3468792359034
"127",23.8629281248824
"128",23.4553118754339
"129",22.9882190826384
"130",22.2568119509184
"131",21.3083356980763
"132",20.102885907693
"133",19.067797330177
"134",18.1528212022459
"135",17.2069849187721
"136",16.4878383720076
"137",15.9300389343373
"138",14.9943987259908
"139",14.0688707297384
"140",13.1145044427164
"141",12.6529093397147
"142",12.224855400693
"143",11.8763190242913
"144",11.6166266636373
"145",11.4196111447633
"146",11.2913102814008
"147",11.1039143250293
"148",10.6600534528648
"149",10.1958636141582
"150",9.87441056247547
"151",9.31871644106848
"152",8.7528303684893
"153",8.71363500752516
"154",8.77444709973755
"155",8.32939194918118
"156",7.73454582173557
"157",7.34537583896159
"158",6.75102182845145
"159",6.40703931722207
"160",5.79268393594016
"161",5.61485992264872
"162",4.22339405647262
"163",3.63217605056813
"164",2.9055645731255
"165",2.26096972996061
"166",1.77658229326749
"167",1.48141739980941
"168",1.03901402085935
"169",0.493545976109196
"170",0.03602313230897
"171",-0.39963563895786
"172",-0.69925206726181
"173",-0.904494410938606
"174",-1.1289046806305
"175",-1.29282711346057
"176",-1.40043600395
"177",-1.47847718906255
"178",-1.5408605278918
"179",-1.58395437115505
"180",-1.61100253589359
"181",-1.62110996246338
