"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",-1.58466163373763
"14",-1.58922157622874
"15",-1.62210143696178
"16",-1.62483172903779
"17",-1.61741599466047
"18",-1.60791235620325
"19",-1.57093963349701
"20",-1.49677967675571
"21",-1.38536471950366
"22",-1.29853783124759
"23",-1.18504547362144
"24",-1.07954168864745
"25",-0.955789667298621
"26",-0.701470176694603
"27",-0.386849022711771
"28",-0.0442758329794416
"29",0.33992035534207
"30",0.769135191514053
"31",1.22856574529239
"32",1.71203908325907
"33",2.21437968873652
"34",2.73275337895999
"35",3.20875497422118
"36",3.71355132140228
"37",4.23467257745543
"38",4.79515502935122
"39",5.37198495010933
"40",5.99092075439756
"41",6.666601281453
"42",7.34838429110391
"43",8.09975796835763
"44",8.85728299617767
"45",9.67073314128073
"46",10.5324034497917
"47",11.4094422537801
"48",12.3112673926772
"49",13.2053036884955
"50",14.0497006035407
"51",14.8344972738372
"52",15.594126034932
"53",16.2958912689997
"54",16.9268058401166
"55",17.5532210842914
"56",18.1212304321824
"57",18.6936507051927
"58",19.268225294171
"59",19.8263577226949
"60",20.3601862154509
"61",20.8321949260336
"62",21.3257114614759
"63",21.8061716223276
"64",22.2159442557325
"65",22.5749878430889
"66",22.9219079653422
"67",23.3090248710604
"68",23.5961920766902
"69",23.9007461403901
"70",24.2428883041782
"71",24.5592799693237
"72",24.8724888201113
"73",25.1393569690078
"74",25.4325859887259
"75",25.7372609110021
"76",26.0440783079933
"77",26.2929485485118
"78",26.5324340222993
"79",26.7230505824513
"80",26.8711190375338
"81",27.0114100635916
"82",27.0442745252926
"83",27.1993035768208
"84",27.2497995398344
"85",27.2148469727615
"86",27.1857580457415
"87",27.0808138454662
"88",27.0206201374531
"89",27.0341597695387
"90",27.1677735789438
"91",27.2801701040829
"92",27.4701363979242
"93",27.6706319339033
"94",27.8464497340442
"95",27.937539804632
"96",27.9958036115553
"97",27.9998910875249
"98",27.954275403704
"99",27.8742425682009
"100",27.7675413826639
"101",27.6448422974231
"102",27.5107670752089
"103",27.3814391593508
"104",27.2420431675802
"105",27.1042556542617
"106",26.9562931060791
"107",26.7645502014766
"108",26.5275591640938
"109",26.2454118026799
"110",26.1007275681117
"111",25.7808629808755
"112",25.4563393614217
"113",25.1455340495307
"114",24.8837566807259
"115",24.5849761876585
"116",24.1476087077683
"117",23.7151504042046
"118",23.3124450720274
"119",22.8206410127528
"120",22.2899256908532
"121",21.7677073701058
"122",21.3221261722525
"123",20.8386538996555
"124",20.3155411252609
"125",19.8596697473526
"126",19.2106351661682
"127",18.6240027630267
"128",17.995561204426
"129",17.0426254652033
"130",16.2261016825938
"131",15.0619783296111
"132",13.8382285435994
"133",12.8924627094478
"134",11.9382323331611
"135",11.2508746300425
"136",11.0170277855613
"137",10.3338352706697
"138",9.65299646316036
"139",8.65307099154206
"140",8.35955764030243
"141",7.9794642616519
"142",7.67903356409785
"143",7.34999040019421
"144",7.12406905538352
"145",6.82249730520875
"146",6.55824004501513
"147",6.23243261193669
"148",5.7721716711754
"149",5.56459496134803
"150",5.39201382525376
"151",5.04795143537432
"152",5.00293470254669
"153",5.20830758309912
"154",5.05995961768578
"155",4.63288376048423
"156",4.43947847919949
"157",4.00264598681561
"158",3.4108397551657
"159",2.6813190825112
"160",2.48286495405729
"161",1.44289848313429
"162",1.25567101541705
"163",0.761173570181663
"164",0.30657169466033
"165",-0.0847343924451634
"166",-0.271172157447916
"167",-0.556416732481898
"168",-0.859664690114101
"169",-1.07302977396027
"170",-1.2470178795949
"171",-1.3439952206744
"172",-1.43692704707522
"173",-1.52733011197562
"174",-1.58116986277549
"175",-1.61619645655155
"176",-1.63978517817126
"177",-1.65608670943313
"178",-1.66740429268943
"179",-1.67399731510215
"180",-1.67811000347137
