"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",20.9720897674561
"12",20.5763663864136
"13",20.5095776748657
"14",20.3239281258216
"15",20.0194177392813
"16",19.7149073527409
"17",19.4073333717411
"18",19.0997593907413
"19",18.9692013673933
"20",19.0156593016972
"21",19.0621172360011
"22",19.2497371537345
"23",19.4373570714678
"24",19.694019827682
"25",20.019725422377
"26",20.345431017072
"27",20.5053891676548
"28",20.6653473182376
"29",20.8513744552839
"30",21.0634705787938
"31",21.2755667023037
"32",21.5481709681683
"33",21.8207752340329
"34",22.1085316235679
"35",22.4114401367732
"36",22.7143486499786
"37",23.0736012455086
"38",23.4328538410385
"39",23.8415157264811
"40",24.2995869018364
"41",24.7576580771917
"42",25.3088549746743
"43",25.8600518721568
"44",26.4304033534134
"45",27.0199094184441
"46",27.6094154834747
"47",28.096365442276
"48",28.5833154010773
"49",29.061870830391
"50",29.5320317302173
"51",30.0021926300435
"52",30.4470857927916
"53",30.8919789555397
"54",31.3114331411704
"55",31.7054483496837
"56",32.099463558197
"57",32.3796645472423
"58",32.6598655362876
"59",32.9099036481007
"60",33.1297788826816
"61",33.3496541172625
"62",33.5131389298441
"63",33.698358301818
"64",33.8705884590382
"65",34.0298294015047
"66",34.1890703439713
"67",34.3072142185989
"68",34.4253580932264
"69",34.5484225414865
"70",34.676407563379
"71",34.8043925852715
"72",34.8957176544031
"73",34.9870427235347
"74",35.047879435069
"75",35.0782277890059
"76",35.187613400546
"77",35.2356497495368
"78",35.2836860985277
"79",35.3139281233547
"80",35.326375824018
"81",35.3388235246813
"82",35.3203419968889
"83",35.3667667492016
"84",35.3724551639041
"85",35.3353660583496
"86",35.2982769527951
"87",35.1679451194969
"88",35.0376132861988
"89",34.9063363358781
"90",34.7741142685349
"91",34.6418922011917
"92",34.7300758241533
"93",34.818259447115
"94",34.8682276513842
"95",34.9045751677619
"96",34.9752510388692
"97",35.0220315640767
"98",35.0688120892842
"99",35.0764129455299
"100",35.0505080538298
"101",35.0954707798205
"102",35.0355759168926
"103",34.9756810539647
"104",34.8650477459556
"105",34.7036759928653
"106",34.542304239775
"107",34.3586842744218
"108",34.2282153644549
"109",34.1162876759566
"110",34.0229012089271
"111",33.9295147418976
"112",33.8628206995976
"113",33.7961266572976
"114",33.7516280468011
"115",33.729324868108
"116",33.707021689415
"117",33.644645031411
"118",33.582268373407
"119",33.4991445225845
"120",33.3952734789436
"121",33.2914024353027
"122",33.010498013883
"123",32.7295935924633
"124",32.4227019962183
"125",32.1062159756185
"126",31.7965962670066
"127",31.4901814038453
"128",31.183766540684
"129",30.8567133228167
"130",30.5090217502436
"131",30.1613301776704
"132",29.7323106215836
"133",29.3032910654968
"134",28.8911800238374
"135",28.4959774966054
"136",28.1007749693734
"137",27.6519827680181
"138",27.2031905666628
"139",26.7513753333084
"140",26.2965370679548
"141",25.8416988026012
"142",25.4023971654718
"143",24.9630955283425
"144",24.5120247887144
"145",24.0491849465877
"146",23.586345104461
"147",23.2045586768617
"148",22.8227722492624
"149",22.5229406588579
"150",22.3050639056483
"151",22.0871871524387
"152",22.0025542235793
"153",21.9179212947198
"154",21.8360328557738
"155",21.7568889067411
"156",21.6777449577085
"157",21.4757080548943
"158",21.2736711520801
"159",20.9632595087134
"160",20.5444731247943
"161",20.1256867408752
"162",19.6907439486186
"163",19.2558011563619
"164",18.7958578291394
"165",18.3109139669509
"166",17.8259701047625
"167",17.7541599727812
"168",17.6823498407999
"169",17.4446345329795
"170",17.0410140493198
"171",16.6373935656601
"172",16.5145729225901
"173",16.3917522795201
"174",16.3155406538476
"175",16.2859380455727
"176",16.2563354372978
"177",16.2622910459836
"178",16.2682466546694
"179",16.3015823046366
"180",16.3622979958852
"181",16.4230136871338
