"","lat","1","2","3","4","5","6","7","8","9","10","11","12"
"1",90,9.78603363037109,8.64983558654785,7.88013362884521,7.56482744216919,9.31071758270264,15.524974822998,22.1280155181885,23.4460487365723,20.3625717163086,16.4062957763672,13.5119333267212,11.3974418640137
"2",87.5,9.77025452256203,8.62647582093875,7.85307367146015,7.53667862216632,9.23939669132233,15.3449653983116,21.8845514257749,23.3635526100794,20.3699441552162,16.4274112979571,13.5222100913525,11.3948108951251
"3",85,9.69960984587669,8.53671303391457,7.75495907167594,7.4548528889815,9.23759122689565,15.2918078700701,21.7593757112821,23.4742416938146,20.5189670920372,16.5212293863297,13.5326490302881,11.3565724392732
"4",82.5,9.4513492076955,8.26785246362078,7.49436318113449,7.26565141880766,9.31383693979142,15.4044362940687,21.8009558332727,23.698351271609,20.6673787908351,16.5291355011311,13.386459157822,11.1435770176827
"5",80,9.02054359136003,7.75847553938962,6.95296834559923,6.86614381061511,9.50689792633057,15.9905454335588,22.4858409367251,24.1075192783656,20.6639579601502,16.3120995960879,13.0491332150577,10.766333601448
"6",77.5,9.21258856001354,7.72163895198277,6.75094788982755,6.86824557894752,10.1179435139611,17.3819208826338,23.9340467907134,24.8092907496861,21.259466443743,16.7420202663967,13.4340692474729,11.1068178131467
"7",75,10.2086807319096,8.4746960912432,7.30544182232448,7.37636399269104,10.2495111737932,17.2030499322074,23.7567377090454,24.856625693185,22.1145236151559,17.7943427222116,14.6014460836138,12.2249456133161
"8",72.5,10.7538834147983,9.10734211073981,8.01096420817905,8.18138252364265,11.3285892274645,18.4739292992486,24.7967854605781,25.5629898707072,22.8303831948174,18.4034265942044,15.0665562417772,12.7286464373271
"9",70,11.5531088829041,10.0537243127823,9.17008974552155,9.51702127456665,12.6983183383942,19.4041857719421,25.2807647705078,26.2244258880615,23.7706774711609,19.3799081802368,15.8946157455444,13.479332780838
"10",67.5,13.1797320739083,11.9389005743939,11.2397210079691,11.5568669360617,14.316209461378,19.8469435650369,24.8853905719259,26.4746019943901,24.7798742211383,20.8691066244374,17.393687662871,14.9600407144298
"11",65,13.9212651714202,12.7091627582427,12.1167373041953,12.5797431238236,15.2918784233832,20.2829140693911,24.9087747758435,26.8037186899493,25.5100481587072,21.8969533981815,18.3746591383411,15.77901206478
"12",62.5,14.4685682748493,13.2860569953918,12.7190531680458,13.1859456614444,15.7921387521844,20.5463134866012,24.9891007072047,27.0745531383314,25.9026528910587,22.4471542458785,18.9776563644409,16.3497457002339
"13",60,14.8522532569038,13.5965182622274,13.0427915149265,13.579633585612,16.1992710749308,20.890165371365,25.2868542141385,27.5733843061659,26.3767150878906,22.9239549424913,19.526487520006,16.8421824773153
"14",57.5,15.7107594063941,14.4748964309692,13.9593876169083,14.5148593009786,16.9944377858588,21.3636265206844,25.6499042510986,28.0632162297026,27.1002150596456,23.7821181277011,20.4047965597599,17.7192036446105
"15",55,16.567800359523,15.3511899582883,14.938441033059,15.6199375720734,18.1232940592664,22.3413574949224,26.5068809833932,28.8680247854679,28.0212042382423,24.8057302921376,21.4136447906494,18.6319600571977
"16",52.5,17.9654329490662,16.7533380126953,16.3218643379211,17.0020404624939,19.4634894561768,23.5957403182983,27.6499458694458,29.9195891571045,29.1535401916504,26.045087890625,22.7448517990112,20.0013089752197
"17",50,19.5482383381237,18.3051912307739,17.8099873456088,18.409876389937,20.8344334689054,24.9445528203791,28.8360590501265,31.0468694860285,30.3361734910445,27.4341217734597,24.2741237640381,21.590209163319
"18",47.5,21.0785612474408,19.881857319882,19.4625867207845,20.1250597635905,22.4788661086768,26.3801845416688,29.9814271424946,31.9865203991271,31.4381036256489,28.7911843751606,25.7426428543894,23.0850776203892
"19",45,22.7297854082925,21.5850549765996,21.2131577900478,21.8836211477007,24.1444899354662,27.7802289213453,31.0515280110495,32.8633274691446,32.4920995916639,30.1113413402012,27.2214988980974,24.6667424270085
"20",42.5,24.2107019597834,23.1335987437855,22.8152676669034,23.4874717018821,25.6139176455411,28.9032379150391,31.8466656424782,33.5472962119363,33.3781560030851,31.2719948161732,28.5372282895175,26.0730993097479
"21",40,25.6087295895531,24.6256654224699,24.3794598957849,25.0449701642233,27.1135257842049,30.2036609346904,32.9008925604442,34.4800751095726,34.4203036474803,32.4793995145767,29.7978687589131,27.389149499318
"22",37.5,26.8699031645252,25.9876903718518,25.8360046571301,26.5624664675805,28.498872264739,31.2544894064626,33.6566143651162,35.0846860024237,35.158655258917,33.4823991406348,30.9210243532735,28.5576075584658
"23",35,28.1987673152577,27.3152610894405,27.1604424678918,27.8523579510775,29.6264061205315,32.1281272714788,34.36097240448,35.7338293826941,35.9059835491758,34.4945197249904,32.1433859738437,29.8632080193722
"24",32.5,29.4928657170889,28.6277680010409,28.4571485261659,29.0910639118504,30.7299839225975,33.0266747345796,35.1350813427487,36.4061051446038,36.5965996819574,35.4206309447417,33.2929703738238,31.1146611909609
"25",30,30.605396270752,29.7138354301453,29.5233684062958,30.1289095401764,31.6608227491379,33.7754130363464,35.7953096628189,36.9625571489334,37.1667077541351,36.2111938238144,34.3205890893936,32.2382951021194
"26",27.5,31.4502809312608,30.568518532647,30.3545226344356,30.8648936895677,32.1795454849432,34.0840376394766,36.0105465076588,37.1249176778911,37.355150528896,36.6012368378816,34.9574946415277,33.0303637657636
"27",25,32.356710600853,31.5112190723419,31.2855576276779,31.6716391563416,32.6848931789398,34.2526780366898,35.9953611373901,37.0949562072754,37.435395526886,36.9115816354752,35.5549639225006,33.8365805149078
"28",22.5,33.2613199493031,32.452132495833,32.2022180204038,32.4697847484071,33.2165616588828,34.4160246672454,35.8801457440412,36.9592388294361,37.43501653789,37.1496036670826,36.0860269334581,34.6121347686391
"29",20,34.1025412797928,33.3593822717667,33.1333064556122,33.3425217866898,33.9012333869934,34.7841500520706,35.9332737922668,36.9180285453796,37.4825873374939,37.4087763786316,36.5933174848557,35.3275282382965
"30",17.5,34.9928908162303,34.3428411607618,34.1665338541006,34.3513943065296,34.775864786916,35.3994448277857,36.2138591617733,36.9941750563584,37.5699684341232,37.6858008743881,37.1324717038638,36.0738580134008
"31",15,36.0183720839651,35.4610954334861,35.3273929545754,35.4867751723842,35.8113643746627,36.2577388663041,36.7896495116384,37.3371494192826,37.8481734426398,38.1015255576686,37.7722634767231,36.9308029475965
"32",12.5,36.9067145899722,36.4133685764514,36.3098753377011,36.4861218301873,36.7949750799882,37.1340197011044,37.459031305815,37.8302741803621,38.2626460727892,38.5564568670172,38.3740712216026,37.6914308447587
"33",10,37.5003949717471,37.0703518516139,37.0471543261879,37.3079403325131,37.6358327865601,37.9041034798873,38.0576369135003,38.2466948659796,38.5557808123137,38.8427630976627,38.7811881115562,38.2084294369346
"34",7.5,38.0003328959147,37.6096636962891,37.6245896402995,37.9408734130859,38.2588088989258,38.3959262593587,38.3407919311523,38.33263575236,38.5230551656087,38.7986864725749,38.8915553283691,38.5548722839355
"35",5,38.3440416124132,38.0970446798537,38.1862466070387,38.5144548416138,38.745678530799,38.7400827937656,38.5587198999193,38.372965282864,38.4152876536051,38.6393542289734,38.7863540649414,38.6586431397332
"36",2.5,38.3143178621928,38.2662382125854,38.4669018851386,38.8104756673177,38.9259885152181,38.7865620719062,38.4223259290059,38.0776860978868,38.0448256068759,38.2539788881938,38.427359369066,38.4100431336297
"37",0,38.1817615612133,38.381632212046,38.6446454331682,38.8742051511197,38.8213167963801,38.4781546206088,37.9230201308792,37.5066058700149,37.4569899584796,37.6883515022896,37.9274090947332,38.0369617874558
"38",-2.5,38.5327750025569,38.8072235004322,39.0092029571533,39.1953513686721,39.1454485815925,38.7371271494273,38.1049970678381,37.5759357761692,37.4559879302979,37.6883334598026,38.0497817477664,38.2974415340939
"39",-5,38.6814935014055,38.9403991699219,39.1498083681674,39.3531977163779,39.3351583738585,38.9030569437388,38.2073844187968,37.5946469693571,37.4122480444006,37.6184768161258,38.0560089317528,38.4467589404132
"40",-7.5,38.6193252769676,38.8392256143931,39.0995608664848,39.3383385941789,39.3011420481914,38.7370090484619,37.9490365208806,37.3236758773391,37.1251923329121,37.3289878432815,37.8109976278769,38.3543069169328
"41",-10,38.50591515206,38.7141907666181,39.0186972746978,39.2917126320504,39.1583896843163,38.3644024616963,37.462204237242,36.8100632332467,36.6006822843809,36.8284032667005,37.3695558084024,38.0779057580072
"42",-12.5,38.1828728726036,38.5274496580425,38.8624744917217,39.117881473742,38.7572113840204,37.7806581697966,36.791735398142,36.0891661894949,35.8474588896099,36.0820807908711,36.6779275693391,37.5024693639655
"43",-15,37.7468749702751,38.3201931049297,38.7261144464666,38.8649032394607,38.2674189976283,37.183154168067,36.1152429456835,35.3576426320262,35.08077264761,35.3136271687297,35.9582559907591,36.8654379411177
"44",-17.5,37.2951049315624,38.0913289388021,38.5689428769625,38.4980487823486,37.703621497521,36.4920211694179,35.3249654036302,34.5219835379185,34.2411674352793,34.5092312250382,35.2342586761866,36.2427907112317
"45",-20,36.9072811754444,37.8622031875803,38.3505611178241,38.0995562589621,37.1288032531738,35.7656765467004,34.5029772263539,33.6617991773388,33.3874106829679,33.7094776539863,34.5339445041705,35.6833289906948
"46",-22.5,36.6219239176056,37.6606592719938,38.0750331643187,37.6269017443245,36.4389700712981,34.9108827379015,33.5697418730936,32.7102982085428,32.4724319834768,32.8820988925887,33.8621194392075,35.2231157326404
"47",-25,36.4565079212189,37.5199105739594,37.8023527145386,37.1229558944702,35.6938509464264,34.0189383506775,32.6290373563766,31.7708535909653,31.5777500391006,32.0874045848846,33.2638373851776,34.8865276813507
"48",-27.5,36.1836964211813,37.2513019515247,37.4135501908093,36.5075077196447,34.8694331471513,33.0863138291894,31.675550832981,30.8336843164956,30.6824385247579,31.2831388101345,32.6448527080257,34.4714474561738
"49",-30,35.7722425575716,36.8971524296037,36.973496057901,35.8522603368185,34.0323161389454,32.1518781501127,30.6963496610343,29.8421004651541,29.7115637767746,30.3865901992982,31.8905648380877,33.8768063740558
"50",-32.5,35.2132351427193,36.424100760954,36.4257714834558,35.1161306220365,33.1023765012442,31.1041930554861,29.5722532846841,28.6675011278635,28.5304888989552,29.2681064146111,30.9094096264207,33.0850434820336
"51",-35,34.5474627017975,35.8444138288498,35.7455424308777,34.2929060220718,32.1783608198166,30.1007105588913,28.5272016048431,27.5923097133636,27.3996060371399,28.0832406282425,29.7727120637894,32.1496193885803
"52",-37.5,33.5685981848301,34.9817622747177,34.8377852806678,33.2734096722725,31.0423572735909,28.8758396246494,27.2531930727836,26.2894929494613,26.0469905168582,26.6722625585703,28.3859509688157,30.9310148434761
"53",-40,32.4379592122911,33.947662329372,33.7421004621288,32.0960270362564,29.7997479257704,27.60537828373,25.9761673891092,24.9903403656392,24.6890580865401,25.2389561616922,26.9391244574438,29.605091215689
"54",-42.5,31.2453963041306,32.8150727748871,32.5383608579636,30.8230682849884,28.4802144527435,26.2971007823944,24.7129060983658,23.7506325244904,23.4217829227448,23.8941415309906,25.5321849822998,28.2673277139664
"55",-45,30.0152612447739,31.6626315832138,31.2929552793503,29.5152353286743,27.1667224884033,25.0256426095963,23.4971029996872,22.5660488128662,22.2070301771164,22.5738852739334,24.0879469871521,26.8586658000946
