"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",0.610867768526077
"12",2.89887885610263
"13",5.18688994367918
"14",6.61452666747265
"15",7.18178902748304
"16",7.74905138749343
"17",7.86627989679321
"18",7.98350840609298
"19",8.19777995242013
"20",8.50909453577466
"21",8.82040911912918
"22",9.10543032463859
"23",9.390451530148
"24",9.66801258220787
"25",9.93811348081818
"26",10.2082143794285
"27",10.5391503752061
"28",10.8700863709836
"29",11.1988335412591
"30",11.5253918860324
"31",11.8519502308058
"32",12.123881073077
"33",12.3958119153483
"34",12.6912186187789
"35",13.010101183369
"36",13.3289837479591
"37",13.8202056112847
"38",14.3114274746102
"39",14.8123555456987
"40",15.32298982455
"41",15.8336241034013
"42",16.417906956733
"43",17.0021898100647
"44",17.5967960946167
"45",18.201725810389
"46",18.8066555261612
"47",19.2406189489365
"48",19.6745823717118
"49",20.1131539385832
"50",20.5563336495508
"51",20.9995133605184
"52",21.4748636070531
"53",21.9502138535878
"54",22.4491685413703
"55",22.9717276704006
"56",23.4942867994308
"57",23.9724876897306
"58",24.4506885800304
"59",24.9445688316621
"60",25.4541284446256
"61",25.9636880575892
"62",26.3946186937796
"63",26.8255493299701
"64",27.2400256256941
"65",27.6380475809516
"66",28.0360695362091
"67",28.4201038430061
"68",28.8041381498031
"69",29.1907370740054
"70",29.5799006156129
"71",29.9690641572204
"72",30.3044863376785
"73",30.6399085181366
"74",30.9568326772867
"75",31.255258815129
"76",31.5536849529712
"77",31.8047272625478
"78",32.0557695721243
"79",32.3113246380519
"80",32.5713924603306
"81",32.8314602826093
"82",33.0193431338749
"83",33.2072259851404
"84",33.3493482022672
"85",33.4457097852552
"86",33.5420713682432
"87",33.5313887518805
"88",33.5207061355178
"89",33.5129301792867
"90",33.508060883187
"91",33.5031915870873
"92",33.7782928103083
"93",34.0533940335294
"94",34.1468181716071
"95",34.1426580005222
"96",34.1384978294373
"97",33.9777191607158
"98",33.8169404919943
"99",33.643842234026
"100",33.4584243868109
"101",33.2730065395958
"102",33.0533979415894
"103",32.833789343583
"104",32.5410929428904
"105",32.1753087395116
"106",31.8095245361328
"107",31.3813704012847
"108",30.9447240476158
"109",30.5194187742084
"110",30.1054545810625
"111",29.6914903879166
"112",29.3211699654732
"113",28.9508495430299
"114",28.5827973656007
"115",28.2170134331856
"116",27.8512295007706
"117",27.456069810832
"118",27.0609101208934
"119",26.681520615507
"120",26.3179012946729
"121",25.9542819738388
"122",25.4658752978814
"123",24.9774686219241
"124",24.4405621265408
"125",23.8551558117315
"126",23.2697494969223
"127",22.7165072589326
"128",22.1632650209429
"129",21.5711590117939
"130",20.9401892314858
"131",20.3092194511777
"132",19.6900891796954
"133",19.0709589082131
"134",18.3916013307076
"135",17.6520164471787
"136",16.9124315636499
"137",16.2033136150891
"138",15.4941956665283
"139",14.8558471628582
"140",14.2882681040787
"141",13.7206890452992
"142",13.3651955583746
"143",13.00970207145
"144",12.6026843753571
"145",12.144142470096
"146",11.6856005648349
"147",11.2775063819073
"148",10.8694121989798
"149",10.4397556137982
"150",9.98853662636262
"151",9.53731763892704
"152",9.42229994539629
"153",9.30728225186554
"154",9.12657841114621
"155",8.8801884232383
"156",8.63379843533039
"157",8.19437406231528
"158",7.75494968930017
"159",6.84349198559056
"160",5.46000095118647
"161",4.07650991678238
"162",3.44175907048914
"163",2.80700822419591
"164",2.2850459135241
"165",1.84678500658936
"166",1.38602855801582
"167",1.16310965177559
"168",0.94019074553535
"169",0.853062678284349
"170",0.901725450022582
"171",0.950388221760814
"172",1.15916259839878
"173",1.36793697503675
"174",1.52730532165432
"175",1.63726763825151
"176",1.74722995484869
"177",1.80739284877976
"178",1.86755574271083
"179",1.90829858879248
"180",1.92962138702472
"181",1.95094418525696
